"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"Biostrings","Biostrings","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.52.0",NA,"R (>= 3.5.0), methods, BiocGenerics, S4Vectors (>= 0.21.13),
IRanges, XVector (>= 0.23.2)","graphics, methods, stats, utils","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit","Rmpi","Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"bit","bit","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-14",NA,"R (>= 2.9.2)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"bit64","bit64","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9-7",NA,"R (>= 3.0.1), bit (>= 1.1-12), utils, methods, stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"bitops","bitops","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"blob","blob","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.1",NA,NA,"methods, prettyunits",NA,"covr, pillar (>= 1.2.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"bookdown","bookdown","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.11",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.22), rmarkdown (>= 1.12),
xfun (>= 0.6), tinytex (>= 0.12)",NA,"htmlwidgets, rstudioapi, miniUI, rsconnect (>= 0.4.3), servr
(>= 0.13), shiny, testit (>= 0.9), tufte, webshot",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"boot","boot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3-22","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","3.6.0"
"brew","brew","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-6",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.0"
"broom","broom","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.2",NA,"R (>= 3.1)","backports, dplyr, generics (>= 0.0.2), methods, nlme, purrr,
reshape2, stringr, tibble, tidyr",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot, brms,
btergm, car, caret, coda, covr, e1071, emmeans, ergm, gam (>=
1.15), gamlss, gamlss.data, gamlss.dist, geepack, ggplot2,
glmnet, gmm, Hmisc, irlba, joineRML, Kendall, knitr, ks,
Lahman, lavaan, lfe, lme4, lmodel2, lmtest, lsmeans, maps,
maptools, MASS, Matrix, mclust, mgcv, muhaz, multcomp, network,
nnet, orcutt (>= 2.2), ordinal, plm, plyr, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, rsample, rstan, rstanarm,
sp, speedglm, statnet.common, survey, survival, testthat,
tseries, xergm, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"Cairo","Cairo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.5-10",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"calibrate","calibrate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7.2",NA,"R (>= 1.8.0), MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"callr","callr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.3.1",NA,NA,"processx (>= 3.4.0), R6, utils",NA,"cliapp, covr, crayon, knitr, pingr, ps, rmarkdown, rprojroot,
spelling, testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"car","car","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.0-3",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",NA,"alr4, boot, coxme, leaps, lmtest, Matrix, MatrixModels, rgl
(>= 0.93.960), sandwich, SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"carData","carData","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.0-2",NA,"R (>= 3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"caroline","caroline","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7.6",NA,"R (>= 1.8.0)",NA,NA,"sm, MASS, RSQLite, grid",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"caTools","caTools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.17.1.2",NA,"R (>= 2.2.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"cellranger","cellranger","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"checkmate","checkmate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.9.4",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, bit, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"class","class","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","7.3-15","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"classInt","classInt","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.3-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"cli","cli","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,"R (>= 2.10)","assertthat, crayon (>= 1.3.4), methods, utils",NA,"covr, fansi, mockery, testthat, webshot, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"clipr","clipr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"clisymbols","clisymbols","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"cluster","cluster","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.1.0","recommended","R (>= 3.3.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"clusterGeneration","clusterGeneration","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.4",NA,"R (>= 2.9.1), MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"coda","coda","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.19-2",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"CodeDepends","CodeDepends","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.5",NA,"methods","codetools, graph, XML, utils",NA,"Rgraphviz, RUnit, knitr, highlight, RJSONIO, RCurl, Rcpp",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"codetools","codetools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2-16","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"colorspace","colorspace","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"colourpicker","colourpicker","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs, utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"combinat","combinat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0-8",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.0"
"commonmark","commonmark","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"compare","compare","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2-6",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"compiler","compiler","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,NA,NA,"Part of R 3.6.0",NA,NA,NA,NA,NA,"3.6.0"
"compositions","compositions","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.40-2",NA,"R (>= 2.2.0), tensorA, robustbase, energy, bayesm",NA,NA,"rgl,combinat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"conStruct","conStruct","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.3",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.18.1), rstantools (>= 1.5.0), caroline, gtools,
foreach, parallel, doParallel","StanHeaders (>= 2.18.0), rstan (>= 2.18.1), BH (>= 1.66.0),
Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, maps",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"copula","copula","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.999-19.1",NA,"R (>= 3.1.0)","stats, graphics, methods, stats4, Matrix, lattice, colorspace,
gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pcaPP, pspline,
numDeriv",NA,"MASS, KernSmooth, sfsmisc, scatterplot3d, Rmpfr, bbmle,
knitr, abind, crop, gridExtra, lcopula, mev, mvnormtest,
parallel, partitions, polynom, qrng, randtoolbox, rugarch,
Runuran, tseries, VGAM, VineCopula, zoo","nor1mix, copulaData","GPL (>= 3) | file LICENCE",NA,NA,NA,NA,"yes","3.6.0"
"corpcor","corpcor","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"corrplot","corrplot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.84",NA,NA,NA,NA,"knitr, RColorBrewer, testthat",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"cowplot","cowplot","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9.4",NA,"R (>= 3.3.0), ggplot2 (>= 2.1.0),","grid (>= 3.0.0), gtable (>= 0.1.2), plyr (>= 1.8.2),
grDevices, methods, scales, utils",NA,"covr, gridGraphics, knitr, rmarkdown, magick, maps, dplyr,
tidyr, testthat, vdiffr, viridis",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"crayon","crayon","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.4",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"crosstalk","crosstalk","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,NA,"htmltools (>= 0.3.5), jsonlite, lazyeval, R6, shiny (>= 0.11),
ggplot2",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"curl","curl","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.3",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"d3Network","d3Network","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.2.1",NA,"R (>= 3.0.0)","plyr, rjson, whisker",NA,"RCurl",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"dabestr","dabestr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.2",NA,"R (>= 3.5.0), boot, magrittr","cowplot, dplyr, ellipsis, ggplot2 (>= 3.0), forcats, ggforce,
ggbeeswarm, rlang, simpleboot, stringr, tibble, tidyr",NA,"knitr, rmarkdown, tufte, testthat, vdiffr",NA,"file LICENSE",NA,NA,NA,NA,"no","3.6.0"
